name,team,opponent,week,season,isHome,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
Julian Love,NYG,JAX,7,2022,True,9,5,0,0,0,0,0
Adoree' Jackson,NYG,JAX,7,2022,True,7,6,0,0,2,0,0
Tae Crowder,NYG,JAX,7,2022,True,6,3,0,0,1,0,0
Jaylon Smith,NYG,JAX,7,2022,True,4,3,0,0,0,0,0
Xavier McKinney,NYG,JAX,7,2022,True,3,3,0,0,0,0,0
Kayvon Thibodeaux,NYG,JAX,7,2022,True,3,2,0,0,0,1,0
Jihad Ward,NYG,JAX,7,2022,True,2,1,0,0,0,0,0
Dexter Lawrence II,NYG,JAX,7,2022,True,2,1,0,0,0,0,0
Darnay Holmes,NYG,JAX,7,2022,True,2,0,0,0,1,0,0
Landon Collins,NYG,JAX,7,2022,True,1,1,0,0,0,0,0
Cam Brown,NYG,JAX,7,2022,True,1,1,0,0,0,0,0
Ryder Anderson,NYG,JAX,7,2022,True,1,1,0,0,0,0,0
Dane Belton,NYG,JAX,7,2022,True,1,1,0,0,0,0,0
Justin Ellis,NYG,JAX,7,2022,True,1,0,0,0,0,0,0
Nick Williams,NYG,JAX,7,2022,True,1,0,0,0,1,0,0
Quincy Roche,NYG,JAX,7,2022,True,1,0,0,0,0,0,0
Leonard Williams,NYG,JAX,7,2022,True,0,0,0,0,0,1,0
Foyesade Oluokun,JAX,NYG,7,2022,False,12,6,0,1,0,0,0
Andre Cisco,JAX,NYG,7,2022,False,8,7,0,0,1,0,0
Darious Williams,JAX,NYG,7,2022,False,8,5,0,0,3,0,0
Tyson Campbell,JAX,NYG,7,2022,False,7,5,0,0,0,0,0
DaVon Hamilton,JAX,NYG,7,2022,False,7,3,0,1,0,0,0
Devin Lloyd,JAX,NYG,7,2022,False,7,2,0,0,0,0,0
Rayshawn Jenkins,JAX,NYG,7,2022,False,5,3,0,0,2,0,0
Travon Walker,JAX,NYG,7,2022,False,5,2,1,1,0,1,0
Foley Fatukasi,JAX,NYG,7,2022,False,3,3,0,0,0,0,0
Tre Herndon,JAX,NYG,7,2022,False,3,1,0,0,1,0,0
Roy Robertson-Harris,JAX,NYG,7,2022,False,2,2,0,1,0,1,0
Arden Key,JAX,NYG,7,2022,False,2,2,0,0,0,0,0
Josh Allen,JAX,NYG,7,2022,False,2,1,0,0,0,1,0
Corey Peters,JAX,NYG,7,2022,False,1,0,0,0,0,0,0
Dawuane Smoot,JAX,NYG,7,2022,False,1,0,0,0,1,0,0
Andrew Wingard,JAX,NYG,7,2022,False,1,0,0,0,0,0,0
De'Shaan Dixon,JAX,NYG,7,2022,False,1,0,0,0,0,0,0
Chris Claybrooks,JAX,NYG,7,2022,False,1,0,0,0,0,0,0
Cole Holcomb,WSH,BUF,3,2021,True,15,10,0,1,0,0,0
Kendall Fuller,WSH,BUF,3,2021,True,10,7,0,0,0,0,0
Kamren Curl,WSH,BUF,3,2021,True,9,4,0,0,0,1,0
Landon Collins,WSH,BUF,3,2021,True,8,5,0,1,0,0,0
Benjamin St-Juste,WSH,BUF,3,2021,True,7,5,0,0,1,0,0
Jamin Davis,WSH,BUF,3,2021,True,6,5,0,0,0,0,0
Jon Bostic,WSH,BUF,3,2021,True,6,2,0,0,0,0,0
Jonathan Allen,WSH,BUF,3,2021,True,3,2,0,0,0,1,0
Montez Sweat,WSH,BUF,3,2021,True,3,2,0,0,0,1,0
Chase Young,WSH,BUF,3,2021,True,3,2,0,0,0,1,0
Bobby McCain,WSH,BUF,3,2021,True,2,2,0,0,0,0,0
Casey Toohill,WSH,BUF,3,2021,True,2,2,0,0,0,1,0
Daron Payne,WSH,BUF,3,2021,True,2,1,0,0,0,2,0
Taylor Heinicke,WSH,BUF,3,2021,True,1,1,0,0,0,0,0
William Jackson III,WSH,BUF,3,2021,True,1,1,0,0,1,0,0
Terry McLaurin,WSH,BUF,3,2021,True,1,1,0,0,0,0,0
Deshazor Everett,WSH,BUF,3,2021,True,1,0,0,0,0,0,0
Troy Apke,WSH,BUF,3,2021,True,1,0,0,0,0,0,0
James Smith-Williams,WSH,BUF,3,2021,True,1,0,0,0,0,0,0
Tremaine Edmunds,BUF,WSH,3,2021,False,8,6,0,1,0,0,0
Matt Milano,BUF,WSH,3,2021,False,7,5,0,2,1,1,0
Micah Hyde,BUF,WSH,3,2021,False,5,4,0,1,2,0,0
Taron Johnson,BUF,WSH,3,2021,False,4,3,0,0,1,0,0
Greg Rousseau,BUF,WSH,3,2021,False,4,3,0,0,0,0,0
Tre'Davious White,BUF,WSH,3,2021,False,3,2,0,0,0,0,0
Star Lotulelei,BUF,WSH,3,2021,False,3,1,1,0,0,0,0
Jordan Poyer,BUF,WSH,3,2021,False,2,2,0,1,1,0,0
Levi Wallace,BUF,WSH,3,2021,False,2,2,0,0,0,0,0
Ed Oliver,BUF,WSH,3,2021,False,2,2,0,0,0,0,0
Tyler Matakevich,BUF,WSH,3,2021,False,2,1,0,0,0,0,0
Vernon Butler,BUF,WSH,3,2021,False,1,1,0,0,0,0,0
Jaquan Johnson,BUF,WSH,3,2021,False,1,1,0,0,0,0,0
