name,team,opponent,week,season,isHome,FG,PCT,LONG,XP,PTS
Younghoe Koo,ATL,MIN,9,2023,False,4/4,100.0,54,2/2,14
Matt Ammendola,NYJ,HOU,12,2021,True,2/3,67.0,37,1/1,7
Ka'imi Fairbairn,HOU,NYJ,12,2021,False,0/1,0.0,0,2/2,2
Greg Joseph,MIN,DEN,11,2023,True,2/2,100.0,34,2/2,8
Wil Lutz,DEN,MIN,11,2023,False,5/5,100.0,52,0/0,15
Nick Sciba,PIT,PHI,8,2022,True,2/2,100.0,38,1/1,7
Jake Elliott,PHI,PIT,8,2022,False,0/0,0.0,0,5/5,5
Chase McLaughlin,CLE,PIT,17,2021,True,0/0,0.0,0,2/2,2
Chris Boswell,PIT,CLE,17,2021,False,4/4,100.0,50,2/2,14
Brett Maher,LAR,CIN,3,2023,True,3/3,100.0,42,1/1,10
Evan McPherson,CIN,LAR,3,2023,False,4/5,80.0,54,1/1,13
Daniel Carlson,LV,KC,5,2022,True,3/3,100.0,53,2/2,11
Matthew Wright,KC,LV,5,2022,False,1/2,50.0,59,3/3,6
Nick Folk,TEN,NO,1,2023,True,5/5,100.0,50,0/0,15
Blake Grupe,NO,TEN,1,2023,False,3/3,100.0,52,1/1,10
Rodrigo Blankenship,IND,HOU,1,2022,True,2/3,67.0,45,2/2,8
Ka'imi Fairbairn,HOU,IND,1,2022,False,2/2,100.0,45,2/2,8
Dustin Hopkins,CLE,BAL,10,2023,True,4/4,100.0,40,1/2,13
Justin Tucker,BAL,CLE,10,2023,False,1/2,50.0,37,4/4,7
Jake Moody,SF,PHI,13,2023,True,0/0,0.0,0,6/6,6
Jake Elliott,PHI,SF,13,2023,False,2/2,100.0,39,1/1,7
Harrison Butker,KC,DEN,18,2021,True,2/2,100.0,51,2/2,8
Brandon McManus,DEN,KC,18,2021,False,1/1,100.0,31,3/3,6
Greg Zuerlein,DAL,TB,1,2021,True,3/5,60.0,48,2/3,11
Ryan Succop,TB,DAL,1,2021,False,1/1,100.0,36,4/4,7
Chase McLaughlin,TB,BUF,8,2023,True,1/2,50.0,57,1/1,4
Tyler Bass,BUF,TB,8,2023,False,1/1,100.0,37,3/3,6
Matt Gay,IND,NE,10,2023,True,1/2,50.0,51,1/1,4
Chad Ryland,NE,IND,10,2023,False,2/3,67.0,37,0/0,6
Lucas Havrisik,LAR,BAL,14,2023,True,3/3,100.0,51,2/2,11
Justin Tucker,BAL,LAR,14,2023,False,3/3,100.0,47,2/2,11
Matt Gay,LAR,LAC,17,2022,True,1/1,100.0,23,1/1,4
Cameron Dicker,LAC,LAR,17,2022,False,1/1,100.0,40,4/4,7
Blake Grupe,NO,NE,5,2023,True,2/2,100.0,54,4/4,10
Chad Ryland,NE,NO,5,2023,False,0/1,0.0,0,0/0,0
Brandon McManus,DEN,CLE,7,2021,True,0/0,0.0,0,2/2,2
Chase McLaughlin,CLE,DEN,7,2021,False,1/2,50.0,52,2/2,5
Riley Patterson,DET,DEN,14,2021,True,1/1,100.0,36,1/1,4
Brandon McManus,DEN,DET,14,2021,False,1/1,100.0,52,5/5,8
Eddy Pineiro,NYJ,MIA,15,2021,True,1/1,100.0,27,3/3,6
Jason Sanders,MIA,NYJ,15,2021,False,1/1,100.0,24,4/4,7
Justin Tucker,BAL,CIN,18,2022,True,3/3,100.0,51,1/1,10
Evan McPherson,CIN,BAL,18,2022,False,2/2,100.0,34,3/3,9
Cade York,CLE,PIT,18,2022,True,0/0,0.0,0,2/2,2
Chris Boswell,PIT,CLE,18,2022,False,2/2,100.0,49,2/2,8
Anders Carlson,GB,PIT,10,2023,True,2/2,100.0,31,1/2,7
Chris Boswell,PIT,GB,10,2023,False,3/3,100.0,49,2/2,11
Jason Myers,SEA,LAR,13,2022,True,2/2,100.0,41,3/3,9
Matt Gay,LAR,SEA,13,2022,False,3/3,100.0,54,2/2,11
Brandon McManus,JAX,PIT,8,2023,True,4/4,100.0,51,0/0,12
Chris Boswell,PIT,JAX,8,2023,False,1/2,50.0,22,1/1,4
Joey Slye,WSH,IND,8,2022,True,1/1,100.0,28,2/2,5
Chase McLaughlin,IND,WSH,8,2022,False,3/3,100.0,46,1/1,10
Jason Sanders,MIA,SF,13,2022,True,1/1,100.0,43,2/2,5
Robbie Gould,SF,MIA,13,2022,False,4/4,100.0,48,3/3,15
Justin Tucker,BAL,NYJ,1,2022,True,1/1,100.0,24,3/3,6
Greg Zuerlein,NYJ,BAL,1,2022,False,1/2,50.0,45,0/1,3
Wil Lutz,DEN,DET,15,2023,True,1/1,100.0,23,2/2,5
Michael Badgley,DET,DEN,15,2023,False,0/0,0.0,0,6/6,6
Lucas Havrisik,LAR,ARI,12,2023,True,1/2,50.0,24,4/5,7
Matt Prater,ARI,LAR,12,2023,False,0/1,0.0,0,0/0,0
Ryan Santoso,DET,CHI,4,2021,True,0/0,0.0,0,2/2,2
Cairo Santos,CHI,DET,4,2021,False,1/1,100.0,33,3/3,6
Eddy Pineiro,CAR,SEA,14,2022,True,3/3,100.0,47,3/3,12
Jason Myers,SEA,CAR,14,2022,False,1/1,100.0,27,3/3,6
Jake Elliott,PHI,DEN,10,2021,True,3/3,100.0,52,3/3,12
Brandon McManus,DEN,PHI,10,2021,False,2/3,67.0,28,1/1,7
Matt Ammendola,NYJ,IND,9,2021,True,1/1,100.0,33,3/3,6
Michael Badgley,IND,NYJ,9,2021,False,1/1,100.0,39,6/6,9
Chris Boswell,PIT,KC,16,2021,True,1/2,50.0,34,1/1,4
Elliott Fry,KC,PIT,16,2021,False,3/4,75.0,44,3/4,12
Jake Elliott,PHI,NYJ,13,2021,True,4/4,100.0,46,3/3,15
Alex Kessman,NYJ,PHI,13,2021,False,0/0,0.0,0,0/2,0
Tyler Bass,BUF,KC,6,2022,True,1/1,100.0,39,3/3,6
Harrison Butker,KC,BUF,6,2022,False,2/3,67.0,62,2/2,8
Harrison Butker,KC,SF,7,2022,True,0/1,0.0,0,6/6,6
Robbie Gould,SF,KC,7,2022,False,3/3,100.0,50,2/2,11
Austin Seibert,DET,MIN,3,2022,True,1/3,33.0,40,3/3,6
Greg Joseph,MIN,DET,3,2022,False,0/2,0.0,0,4/4,4
Justin Tucker,BAL,CIN,16,2021,True,0/0,0.0,0,3/3,3
Evan McPherson,CIN,BAL,16,2021,False,2/3,67.0,36,5/5,11
Chase McLaughlin,IND,LV,10,2022,True,2/3,67.0,48,1/1,7
Daniel Carlson,LV,IND,10,2022,False,0/0,0.0,0,2/2,2
