Name,PlayerID,Experience,Height,Weight,Position,Age,Team,TeamID,isFreeAgent,Headshot,espnID
Nicholas Petit-Frere,4361368,2,"6'5""",316,OT,24,TEN,31,False,https://a.espncdn.com/i/headshots/nfl/players/full/4361368.png,4361368
Lamarcus Joyner,16769,9,"5'8""",185,S,33,NYJ,25,True,https://a.espncdn.com/i/headshots/nfl/players/full/16769.png,16769
Justin Jefferson,4262921,5,"6'1""",195,WR,24,MIN,21,False,https://a.espncdn.com/i/headshots/nfl/players/full/4262921.png,4262921
Jaylon Moore,4043041,3,"6'4""",311,G,26,SF,28,False,https://a.espncdn.com/i/headshots/nfl/players/full/4043041.png,4043041
Terrell Lewis,4040968,4,"6'5""",262,LB,25,PHI,27,False,https://a.espncdn.com/i/headshots/nfl/players/full/4040968.png,4040968
Steve Avila,4362474,2,"6'3""",332,G,24,LAR,19,False,https://a.espncdn.com/i/headshots/nfl/players/full/4362474.png,4362474
Dillon Johnson,4689338,R,"6'0""",218,RB,22,TEN,31,False,https://a.espncdn.com/i/headshots/college-football/players/full/4689338.png,4689338
Pressley Harvin III,4240485,3,"6'0""",255,P,25,PIT,26,True,https://a.espncdn.com/i/headshots/nfl/players/full/4240485.png,4240485
Ray Davis,4429501,R,"5'10""",216,RB,24,BUF,4,False,https://a.espncdn.com/i/headshots/college-football/players/full/4429501.png,4429501
Durrell Johnson,4689607,1,"6'3""",240,DE,25,DAL,9,False,https://a.espncdn.com/i/headshots/nfl/players/full/4689607.png,4689607
Alexander Matheson,3163372,1,"6'5""",245,LS,29,LAR,19,True,https://a.espncdn.com/combiner/i?img=/i/headshots/nophoto.png&w=200&h=146,3163372
Isaac Seumalo,2978247,8,"6'4""",303,G,30,PIT,26,False,https://a.espncdn.com/i/headshots/nfl/players/full/2978247.png,2978247
Jack Snyder,4036876,1,"6'5""",310,G,26,MIN,21,True,https://a.espncdn.com/i/headshots/nfl/players/full/4036876.png,4036876
Josh Hammond,4034944,1,"6'0""",194,WR,25,DEN,10,True,https://a.espncdn.com/i/headshots/nfl/players/full/4034944.png,4034944
Anthony Firkser,3049698,6,"6'2""",241,TE,29,DET,11,True,https://a.espncdn.com/i/headshots/nfl/players/full/3049698.png,3049698
Camerun Peoples,4360765,R,"6'2""",225,RB,24,CAR,5,True,https://a.espncdn.com/i/headshots/nfl/players/full/4360765.png,4360765
Christian Jones,4362103,R,"6'6""",321,OT,23,ARI,1,False,https://a.espncdn.com/i/headshots/college-football/players/full/4362103.png,4362103
Diego Fagot,4371866,R,"6'3""",238,LB,26,NE,22,True,https://a.espncdn.com/i/headshots/nfl/players/full/4371866.png,4371866
Jaxson Kirkland,4243324,1,"6'7""",328,G,25,CIN,7,False,https://a.espncdn.com/i/headshots/nfl/players/full/4243324.png,4243324
JC Latham,4431437,R,"6'6""",360,OT,21,TEN,31,False,https://a.espncdn.com/i/headshots/college-football/players/full/4431437.png,4431437
DJ Turner II,4572036,2,"5'11""",180,CB,23,CIN,7,False,https://a.espncdn.com/i/headshots/nfl/players/full/4572036.png,4572036
Jake Ferguson,4242355,3,"6'5""",244,TE,25,DAL,9,False,https://a.espncdn.com/i/headshots/nfl/players/full/4242355.png,4242355
Doug Costin,4038987,2,"6'2""",295,DT,26,LV,17,True,https://a.espncdn.com/i/headshots/nfl/players/full/4038987.png,4038987
T.Y. McGill,2577757,8,"6'0""",295,DT,31,SF,28,False,https://a.espncdn.com/i/headshots/nfl/players/full/2577757.png,2577757
Marcell Ateman,3046320,3,"6'4""",216,WR,29,BUF,4,True,https://a.espncdn.com/i/headshots/nfl/players/full/3046320.png,3046320
Tyler Coyle,4044079,1,"6'1""",209,S,25,GB,12,False,https://a.espncdn.com/i/headshots/nfl/players/full/4044079.png,4044079
Efe Obada,3734467,6,"6'6""",265,DE,32,WSH,32,False,https://a.espncdn.com/i/headshots/nfl/players/full/3734467.png,3734467
Antony Auclair,4081127,6,"6'6""",256,TE,30,TEN,31,True,https://a.espncdn.com/i/headshots/nfl/players/full/4081127.png,4081127
Jerome Ford,4372019,3,"5'10""",210,RB,24,CLE,8,False,https://a.espncdn.com/i/headshots/nfl/players/full/4372019.png,4372019
Ross Dwelley,3120303,6,"6'5""",235,TE,29,SF,28,True,https://a.espncdn.com/i/headshots/nfl/players/full/3120303.png,3120303
Cody White,4241983,2,"6'3""",215,WR,25,SEA,29,False,https://a.espncdn.com/i/headshots/nfl/players/full/4241983.png,4241983
Cor'Dale Flott,4429607,3,"6'2""",175,CB,22,NYG,24,False,https://a.espncdn.com/i/headshots/nfl/players/full/4429607.png,4429607
Ilm Manning,4373953,2,"6'2""",294,OT,24,CAR,5,False,https://a.espncdn.com/i/headshots/nfl/players/full/4373953.png,4373953
Qadree Ollison,3123944,5,"6'1""",232,RB,27,PIT,26,True,https://a.espncdn.com/i/headshots/nfl/players/full/3123944.png,3123944
Roman Wilson,4431492,R,"6'0""",192,WR,22,PIT,26,False,https://a.espncdn.com/i/headshots/college-football/players/full/4431492.png,4431492
Bruce Irvin,14946,12,"6'3""",258,LB,36,MIA,20,True,https://a.espncdn.com/i/headshots/nfl/players/full/14946.png,14946
Vincent Gray,4372074,1,"6'2""",192,CB,24,CLE,8,False,https://a.espncdn.com/i/headshots/nfl/players/full/4372074.png,4372074
Michael Dogbe,3138765,4,"6'3""",280,DE,28,MIN,21,True,https://a.espncdn.com/i/headshots/nfl/players/full/3138765.png,3138765
Will Shipley,4431545,R,"5'11""",210,RB,21,PHI,27,False,https://a.espncdn.com/i/headshots/college-football/players/full/4431545.png,4431545
Kamal Hadden,4427356,R,"6'1""",197,CB,23,KC,16,False,https://a.espncdn.com/i/headshots/college-football/players/full/4427356.png,4427356
Isaac Yiadom,3122797,6,"6'1""",188,CB,28,SF,28,False,https://a.espncdn.com/i/headshots/nfl/players/full/3122797.png,3122797
Matt Barkley,15948,10,"6'2""",227,QB,33,JAX,15,True,https://a.espncdn.com/i/headshots/nfl/players/full/15948.png,15948
