,Name,Teams,Season,POS,GP,RUSH,REC,RET,TD,FG,XP,2PT,PTS,PTS/G
854,Chester Rogers,TEN,2021,WR,16,0,1,0,1,0,0,0,6,0.4
855,Elandon Roberts,MIA,2021,LB,17,0,0,1,1,0,0,0,6,0.4
856,Mitchell Trubisky,BUF,2021,QB,6,1,0,0,1,0,0,0,6,1.0
857,Johnny Stanton IV,CLE,2021,FB,4,0,1,0,1,0,0,0,6,1.5
858,Rashard Higgins,CLE,2021,WR,15,0,1,0,1,0,0,0,6,0.4
859,O.J. Howard,TB,2021,TE,17,0,1,0,1,0,0,0,6,0.4
860,Godwin Igwebuike,DET,2021,RB,17,1,0,0,1,0,0,0,6,0.4
861,Corey Clement,DAL,2021,RB,17,0,1,0,1,0,0,0,6,0.4
862,Chuck Clark,BAL,2021,S,16,0,0,1,1,0,0,0,6,0.4
863,Trayvon Henderson,CIN,2021,S,2,0,0,1,1,0,0,0,6,3.0
864,Anthony Miller,HOU / PIT,2021,WR,3,0,1,0,1,0,0,0,6,2.0
865,Laquon Treadwell,JAX,2021,WR,12,0,1,0,1,0,0,0,6,0.5
866,John Ross,NYG,2021,WR,10,0,1,0,1,0,0,0,6,0.6
867,Baker Mayfield,CLE,2021,QB,14,1,0,0,1,0,0,0,6,0.4
868,Jonnu Smith,NE,2021,TE,16,0,1,0,1,0,0,0,6,0.4
869,Zay Jones,LV,2021,WR,17,0,1,0,1,0,0,0,6,0.4
870,Keelan Cole Sr.,NYJ,2021,WR,15,0,1,0,1,0,0,0,6,0.4
871,Brandon Powell,LAR,2021,WR,6,0,0,1,1,0,0,0,6,1.0
872,Jason Cabinda,DET,2021,FB,14,0,1,0,1,0,0,0,6,0.4
873,Cole Holcomb,WSH,2021,LB,16,0,0,1,1,0,0,0,6,0.4
874,Ross Dwelley,SF,2021,TE,17,0,1,0,1,0,0,0,6,0.4
875,JuJu Smith-Schuster,PIT,2021,WR,5,1,0,0,1,0,0,0,6,1.2
876,Parris Campbell,IND,2021,WR,6,0,1,0,1,0,0,0,6,1.0
877,J.C. Jackson,NE,2021,CB,17,0,0,1,1,0,0,0,6,0.4
878,Myles Garrett,CLE,2021,DE,17,0,0,1,1,0,0,0,6,0.4
879,Trent Sherfield,SF,2021,WR,17,0,1,0,1,0,0,0,6,0.4
880,Tommy Sweeney,BUF,2021,TE,13,0,1,0,1,0,0,0,6,0.5
881,Chris Herndon,MIN,2021,TE,16,0,1,0,1,0,0,0,6,0.4
882,Austin Walter,NYJ,2021,RB,4,1,0,0,1,0,0,0,6,1.5
883,Qadree Ollison,ATL,2021,RB,8,1,0,0,1,0,0,0,6,0.8
884,Ito Smith,DAL,2021,RB,1,1,0,0,1,0,0,0,6,6.0
885,Nik Needham,MIA,2021,CB,17,0,0,1,1,0,0,0,6,0.4
886,Jacob Hollister,JAX,2021,TE,7,0,1,0,1,0,0,0,6,0.9
887,Will Dissly,SEA,2021,TE,15,0,1,0,1,0,0,0,6,0.4
888,Dante Pettis,NYG,2021,WR,3,0,1,0,1,0,0,0,6,2.0
889,Jeremy McNichols,TEN,2021,RB,14,0,1,0,1,0,0,0,6,0.4
890,Tremon Smith,HOU,2021,CB,17,0,0,1,1,0,0,0,6,0.4
891,Chris Myarick,NYG,2021,TE,8,0,1,0,1,0,0,0,6,0.8
892,Cameron Batson,TEN,2021,WR,4,0,1,0,1,0,0,0,6,1.5
893,Kendall Hinton,DEN,2021,WR,16,0,1,0,1,0,0,0,6,0.4
894,Christian Wilkins,MIA,2021,DT,17,0,1,0,1,0,0,0,6,0.4
895,Ty'Son Williams,BAL,2021,RB,13,1,0,0,1,0,0,0,6,0.5
896,Mike Hughes,KC,2021,CB,17,0,0,1,1,0,0,0,6,0.4
897,Scotty Miller,TB,2021,WR,9,1,0,0,1,0,0,0,6,0.7
898,Roquan Smith,CHI,2021,LB,17,0,0,1,1,0,0,0,6,0.4
899,Zach Allen,ARI,2021,DE,15,0,0,1,1,0,0,0,6,0.4
900,Danny Pinter,IND,2021,G,16,0,1,0,1,0,0,0,6,0.4
901,Denzel Ward,CLE,2021,CB,15,0,0,1,1,0,0,0,6,0.4
902,Terence Steele,DAL,2021,OT,16,0,1,0,1,0,0,0,6,0.4
903,Tyree Jackson,PHI,2021,TE,9,0,1,0,1,0,0,0,6,0.7
904,Dre Greenlaw,SF,2021,LB,3,0,0,1,1,0,0,0,6,2.0
905,Alec Ingold,LV,2021,FB,9,0,1,0,1,0,0,0,6,0.7
906,Ulysees Gilbert,PIT,2021,LB,17,0,0,0,1,0,0,0,6,0.4
907,Auden Tate,CIN,2021,WR,7,0,1,0,1,0,0,0,6,0.9
908,JaMycal Hasty,SF,2021,RB,11,1,0,0,1,0,0,0,6,0.5
909,Dorance Armstrong,DAL,2021,DE,13,0,0,1,1,0,0,0,6,0.5
910,Marlon Davidson,ATL,2021,DT,11,0,0,1,1,0,0,0,6,0.5
911,Dez Fitzpatrick,TEN,2021,WR,4,0,1,0,1,0,0,0,6,1.5
912,Chauncey Golston,DAL,2021,DE,15,0,0,0,1,0,0,0,6,0.4
913,Sean McKeon,DAL,2021,TE,9,0,1,0,1,0,0,0,6,0.7
914,Byron Murphy Jr.,ARI,2021,CB,16,0,0,1,1,0,0,0,6,0.4
915,Patrick Taylor Jr.,GB,2021,RB,9,1,0,0,1,0,0,0,6,0.7
916,Dee Eskridge,SEA,2021,WR,10,0,1,0,1,0,0,0,6,0.6
917,John Bates,WSH,2021,TE,17,0,1,0,1,0,0,0,6,0.4
918,Dezmon Patmon,IND,2021,WR,8,0,1,0,1,0,0,0,6,0.8
919,JaQuan Hardy,DAL,2021,RB,3,1,0,0,1,0,0,0,6,2.0
