,Name,Teams,Season,POS,GP,SOLO,AST,TOT,SACK YDS,YDS,TFL,PD,INT,INT YDS,LNG,TD,FF,FR,FTD
3366,Ty Summers,GB,2020,LB,16,27,12,39,0.0,0,0,1,0,0,0,0,0,0,0
3367,Maxx Crosby,LV,2020,DE,16,20,19,39,7.0,38,15,1,0,0,0,0,0,1,0
3368,Mack Wilson Sr.,CLE,2020,LB,13,24,15,39,0.0,0,1,2,0,0,0,0,0,0,0
3369,Willie Gay,KC,2020,LB,16,29,10,39,1.0,1,4,3,0,0,0,0,1,0,0
3370,Chris Claybrooks,JAX,2020,CB,13,33,6,39,0.0,0,1,3,0,0,0,0,0,0,0
3371,Steven Means,ATL,2020,LB,16,21,17,38,3.0,23,6,0,0,0,0,0,2,0,0
3372,Bashaud Breeland,KC,2020,CB,11,30,8,38,0.0,0,2,9,2,29,29,0,1,1,0
3373,Javon Hargrave,PHI,2020,DT,15,16,22,38,4.5,31,7,1,0,0,0,0,0,1,0
3374,Darius Phillips,CIN,2020,CB,12,30,8,38,0.0,0,2,12,1,21,21,0,2,0,0
3375,Chidobe Awuzie,DAL,2020,CB,8,29,9,38,0.0,0,1,5,1,0,0,0,0,1,0
3376,Jarran Reed,SEA,2020,DT,16,20,18,38,6.5,35,8,1,0,0,0,0,1,0,0
3377,Josh Sweat,PHI,2020,DE,14,24,14,38,6.0,52,11,2,0,0,0,0,3,0,0
3378,Ronnie Harrison Jr.,CLE,2020,S,11,24,14,38,1.0,0,1,7,1,47,47,1,0,1,0
3379,Chris Harris Jr.,LAC,2020,CB,9,25,12,37,0.5,0,2,2,1,51,51,0,0,0,0
3380,Stephon Gilmore,NE,2020,CB,11,30,7,37,0.0,0,1,3,1,15,15,0,1,0,0
3381,Jeff Heath,LV,2020,S,13,28,9,37,0.0,0,1,4,3,89,47,0,0,0,0
3382,Bradley Roby,HOU,2020,CB,10,33,4,37,0.0,0,2,7,1,0,0,0,0,1,0
3383,Byron Jones,MIA,2020,CB,14,28,9,37,0.0,0,1,4,2,15,15,0,1,0,0
3384,DeShawn Williams,DEN,2020,DT,14,20,17,37,2.0,7,4,3,1,1,1,0,0,0,0
3385,Benardrick McKinney,HOU,2020,LB,4,19,18,37,0.0,0,2,1,0,0,0,0,0,0,0
3386,Danny Shelton,DET,2020,DT,12,15,22,37,1.0,7,4,1,0,0,0,0,0,0,0
3387,Adam Gotsis,JAX,2020,DE,16,18,19,37,0.0,0,4,3,0,0,0,0,1,0,0
3388,Marcell Harris,SF,2020,S,16,27,10,37,0.0,0,1,3,0,0,0,0,2,2,0
3389,Olivier Vernon,CLE,2020,DE,14,24,12,36,9.0,45,13,3,0,0,0,0,1,1,0
3390,Bradley McDougald,NYJ,2020,S,7,23,13,36,0.0,0,0,3,0,0,0,0,0,1,0
3391,Darqueze Dennard,ATL,2020,CB,8,28,8,36,0.0,0,2,5,1,0,0,0,0,0,0
3392,Brent Urban,CHI,2020,DE,16,17,19,36,2.5,7,3,1,0,0,0,0,0,0,0
3393,Tyeler Davison,ATL,2020,DT,16,15,21,36,0.5,6,3,0,0,0,0,0,0,0,0
3394,Dean Lowry,GB,2020,DT,16,14,22,36,3.0,19,3,2,0,0,0,0,0,0,0
