,Name,Teams,Season,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
1317,Robert Foster,WSH,2020,WR,4,2,6,37,18.5,0,28,1,9.3,0,0,32,2
1318,Deon Yelder,KC,2020,TE,14,7,11,36,5.1,0,12,0,2.6,0,0,33,2
1319,Charlie Woerner,SF,2020,TE,14,3,4,36,12.0,0,18,0,2.6,0,0,26,2
1320,Cam Newton,NE,2020,QB,15,2,2,35,17.5,1,19,0,2.3,0,0,19,2
1321,Lee Smith,BUF,2020,TE,10,4,6,35,8.8,2,27,1,3.5,0,0,22,3
1322,Jakob Johnson,NE,2020,FB,16,8,9,35,4.4,1,12,0,2.2,1,0,23,3
1323,Lawrence Cager,NYJ,2020,TE,2,2,6,35,17.5,0,19,0,17.5,0,0,12,2
1324,Kahale Warring,HOU,2020,TE,7,3,7,35,11.7,0,23,1,5.0,0,0,8,2
1325,Brandon Zylstra,CAR,2020,WR,16,3,4,35,11.7,0,28,1,2.2,0,0,16,3
1326,Andre Roberts,BUF,2020,WR,15,4,5,34,8.5,0,16,0,2.3,0,0,4,2
1327,Tevin Coleman,SF,2020,RB,8,4,5,34,8.5,0,18,0,4.3,0,0,22,2
1328,Ke'Shawn Vaughn,TB,2020,RB,10,5,10,34,6.8,1,13,0,3.4,1,1,24,2
1329,JaMycal Hasty,SF,2020,RB,8,7,8,33,4.7,0,16,0,4.1,0,0,47,0
1330,Nick Westbrook-Ikhine,TEN,2020,WR,14,3,8,33,11.0,0,19,0,2.4,0,0,5,3
1331,Terry Godwin,JAX,2020,WR,3,3,6,32,10.7,0,21,1,10.7,0,0,3,2
1332,Seth Roberts,CAR,2020,WR,7,4,6,31,7.8,0,12,0,4.4,0,0,21,2
1333,Daniel Brown,NYJ,2020,TE,16,2,2,31,15.5,0,18,0,1.9,0,0,21,2
1334,DeAndre Washington,KC / MIA,2020,RB,4,5,10,30,6.0,0,10,0,7.5,0,0,23,2
1335,Marlon Mack,IND,2020,RB,1,3,3,30,10.0,0,19,0,30.0,0,0,29,1
1336,Trayveon Williams,CIN,2020,RB,10,5,5,30,6.0,0,13,0,3.0,0,0,41,1
1337,Isaiah Zuber,NE,2020,WR,4,2,2,29,14.5,0,16,0,7.3,0,0,29,1
1338,Josh Adams,NYJ,2020,RB,8,6,8,29,4.8,0,11,0,3.6,0,0,24,2
1339,Michael Burton,NO,2020,FB,15,4,4,28,7.0,0,12,0,1.9,0,0,22,1
1340,Phillip Lindsay,DEN,2020,RB,11,7,14,28,4.0,0,11,0,2.5,0,0,37,1
1341,Ty Montgomery II,NO,2020,WR,6,3,6,27,9.0,0,17,0,4.5,0,0,33,1
1342,Austin Carr,NO,2020,WR,6,3,4,27,9.0,1,11,0,4.5,0,0,11,3
1343,Austin Walter,SF,2020,RB,4,1,1,27,27.0,0,27,1,6.8,0,0,33,1
1344,Darrynton Evans,TEN,2020,RB,5,2,4,27,13.5,1,24,1,5.4,0,0,29,2
1345,Diontae Spencer,DEN,2020,WR,11,3,6,26,8.7,0,10,0,2.4,0,0,13,1
1346,Ezekiel Turner,ARI,2020,LB,16,1,1,26,26.0,0,26,1,1.6,0,0,14,1
1347,Dominique Dafney,GB,2020,TE,5,2,2,26,13.0,1,13,0,5.2,0,0,10,2
1348,Corey Clement,PHI,2020,RB,15,5,6,25,5.0,0,12,0,1.7,0,0,31,2
1349,Jaeden Graham,ATL,2020,TE,16,3,5,25,8.3,0,11,0,1.6,0,0,15,1
1350,Gabe Nabers,LAC,2020,FB,16,5,7,25,5.0,2,9,0,1.6,0,0,23,2
1351,Daurice Fountain,IND,2020,WR,5,2,3,23,11.5,0,12,0,4.6,0,0,0,2
1352,T.J. Yeldon,BUF,2020,RB,3,1,4,22,22.0,1,22,1,7.3,0,0,0,1
1353,Jake Kumerow,BUF,2020,WR,6,1,1,22,22.0,1,22,1,3.7,0,0,0,1
1354,Jonathan Williams,DET,2020,RB,5,4,4,21,5.3,0,10,0,4.2,0,0,22,2
